91 153
-3.386850758390355e-01 1.019195182039891e-03 1.000000000000000e-02
-3.306193007813505e-01 1.020177454713854e-03 1.000000000000000e-02
-3.225535229760694e-01 1.021161871555654e-03 1.000000000000000e-02
-3.144877424231908e-01 1.022148432567767e-03 1.000000000000000e-02
-3.064219591227130e-01 1.023137137752664e-03 1.000000000000000e-02
-2.983561730746341e-01 1.024127987112829e-03 1.000000000000000e-02
-2.902903842789530e-01 1.025120980650725e-03 1.000000000000000e-02
-2.822245927356678e-01 1.026116118368836e-03 1.000000000000000e-02
-2.741587984447773e-01 1.027113400269626e-03 1.000000000000000e-02
-2.660930014062793e-01 1.028112826355565e-03 1.000000000000000e-02
-2.580272016201729e-01 1.029114396629123e-03 1.000000000000000e-02
-2.499613990864559e-01 1.030118111092798e-03 1.000000000000000e-02
-2.418955938051270e-01 1.031123969749026e-03 1.000000000000000e-02
-2.338297857761848e-01 1.032131972600298e-03 1.000000000000000e-02
-2.257639749996273e-01 1.033142119649097e-03 1.000000000000000e-02
-2.176981614754531e-01 1.034154410897874e-03 1.000000000000000e-02
-2.096323452036608e-01 1.035168846349133e-03 1.000000000000000e-02
-2.015665261842488e-01 1.036185426005309e-03 1.000000000000000e-02
-1.935007044172150e-01 1.037204149868902e-03 1.000000000000000e-02
-1.854348799025586e-01 1.038225017942374e-03 1.000000000000000e-02
-1.773690526402773e-01 1.039248030228201e-03 1.000000000000000e-02
-1.693032226303700e-01 1.040273186728849e-03 1.000000000000000e-02
-1.612373898728348e-01 1.041300487446793e-03 1.000000000000000e-02
-1.531715543676704e-01 1.042329932384511e-03 1.000000000000000e-02
-1.451057161148750e-01 1.043361521544481e-03 1.000000000000000e-02
-1.370398751144471e-01 1.044395254929179e-03 1.000000000000000e-02
-1.289740313663851e-01 1.045431132541047e-03 1.000000000000000e-02
-1.209081848706874e-01 1.046469154382598e-03 1.000000000000000e-02
-1.128423356273525e-01 1.047509320456261e-03 1.000000000000000e-02
-1.047764836363786e-01 1.048551630764547e-03 1.000000000000000e-02
-9.671062889776444e-02 1.049596085309912e-03 1.000000000000000e-02
-8.864477141150820e-02 1.050642684094855e-03 1.000000000000000e-02
-8.057891117760838e-02 1.051691427121790e-03 1.000000000000000e-02
-7.251304819606336e-02 1.052742314393229e-03 1.000000000000000e-02
-6.444718246687151e-02 1.053795345911657e-03 1.000000000000000e-02
-5.638131399003138e-02 1.054850521679515e-03 1.000000000000000e-02
-4.831544276554126e-02 1.055907841699316e-03 1.000000000000000e-02
-4.024956879339964e-02 1.056967305973489e-03 1.000000000000000e-02
-3.218369207360489e-02 1.058028914504530e-03 1.000000000000000e-02
-2.411781260615547e-02 1.059092667294911e-03 1.000000000000000e-02
-1.605193039104976e-02 1.060158564347116e-03 1.000000000000000e-02
-7.986045428286178e-03 1.061226605663587e-03 1.000000000000000e-02
7.984228213717658e-05 1.062296791246836e-03 1.000000000000000e-02
7.808958399070896e-03 3.132078784986836e-03 1.000000000000000e-02
1.554030715581471e-02 5.202457318475823e-03 1.000000000000000e-02
2.327611859601558e-02 7.274030120688890e-03 1.000000000000000e-02
3.101862404589261e-02 9.347395264508215e-03 1.000000000000000e-02
3.877005675840728e-02 1.142315133938752e-02 1.000000000000000e-02
4.653265255798028e-02 1.350189762416491e-02 1.000000000000000e-02
5.430865048594052e-02 1.558423426007363e-02 1.000000000000000e-02
6.210029344689229e-02 1.767076242400086e-02 1.000000000000000e-02
6.990982885618507e-02 1.976208450204399e-02 1.000000000000000e-02
7.773950928867893e-02 2.185880426341584e-02 1.000000000000000e-02
8.559159312898385e-02 2.396152703474699e-02 1.000000000000000e-02
9.346834522336975e-02 2.607085987483812e-02 1.000000000000000e-02
1.013720375335279e-01 2.818741174990963e-02 1.000000000000000e-02
1.093049497923764e-01 3.031179370940244e-02 1.000000000000000e-02
1.172693701620992e-01 3.244461906237819e-02 1.000000000000000e-02
1.252675958946040e-01 3.458650355457091e-02 1.000000000000000e-02
1.333019339945960e-01 3.673806554614102e-02 1.000000000000000e-02
1.413747018854534e-01 3.889992619018329e-02 1.000000000000000e-02
1.494882280780991e-01 4.107270961203924e-02 1.000000000000000e-02
1.576448528430614e-01 4.325704308946719e-02 1.000000000000000e-02
1.658469288859170e-01 4.545355723372108e-02 1.000000000000000e-02
1.740968220263112e-01 4.766288617158973e-02 1.000000000000000e-02
1.823969118807503e-01 4.988566772845085e-02 1.000000000000000e-02
1.907495925493652e-01 5.212254361239074e-02 1.000000000000000e-02
1.991572733068417e-01 5.437415959944419e-02 1.000000000000000e-02
2.076223792977182e-01 5.664116572000694e-02 1.000000000000000e-02
2.161473522362508e-01 5.892421644647580e-02 1.000000000000000e-02
2.247346511110457e-01 6.122397088216861e-02 1.000000000000000e-02
2.333867528946669e-01 6.354109295158089e-02 1.000000000000000e-02
2.421061532584174e-01 6.587625159203225e-02 1.000000000000000e-02
2.508953672925043e-01 6.823012094675898e-02 1.000000000000000e-02
2.597569302317936e-01 7.060338055950727e-02 1.000000000000000e-02
2.686933981873641e-01 7.299671557068488e-02 1.000000000000000e-02
2.777073488840707e-01 7.541081691512649e-02 1.000000000000000e-02
2.868013824043302e-01 7.784638152153037e-02 1.000000000000000e-02
2.959781219383431e-01 8.030411251362332e-02 1.000000000000000e-02
3.052402145409684e-01 8.278471941311361e-02 1.000000000000000e-02
3.145903318954689e-01 8.528891834448762e-02 1.000000000000000e-02
3.240311710843451e-01 8.781743224171210e-02 1.000000000000000e-02
3.335654553674848e-01 9.037099105689969e-02 1.000000000000000e-02
3.431959349678446e-01 9.295033197099906e-02 1.000000000000000e-02
3.529253878648972e-01 9.555619960656983e-02 1.000000000000000e-02
3.627566205960680e-01 9.818934624270378e-02 1.000000000000000e-02
3.726924690663938e-01 1.008505320321542e-01 1.000000000000000e-02
3.827357993666354e-01 1.035405252207368e-01 1.000000000000000e-02
3.928895086000797e-01 1.062601023690640e-01 1.000000000000000e-02
4.031565257182716e-01 1.090100485766778e-01 1.000000000000000e-02
4.135398123659114e-01 1.117911577086454e-01 1.000000000000000e-02
4.240423637351652e-01 1.146042326246828e-01 1.000000000000000e-02
4.346672094296322e-01 1.174500854108731e-01 1.000000000000000e-02
4.454174143382169e-01 1.203295376140446e-01 1.000000000000000e-02
4.562960795191581e-01 1.232434204788785e-01 1.000000000000000e-02
4.673063430944712e-01 1.261925751878142e-01 1.000000000000000e-02
4.784513811550532e-01 1.291778531038183e-01 1.000000000000000e-02
4.897344086767226e-01 1.322001160160920e-01 1.000000000000000e-02
5.011586804474488e-01 1.352602363887849e-01 1.000000000000000e-02
5.127274920060359e-01 1.383590976127863e-01 1.000000000000000e-02
5.244441805925426e-01 1.414975942606699e-01 1.000000000000000e-02
5.363121261106938e-01 1.446766323448598e-01 1.000000000000000e-02
5.483347521025793e-01 1.478971295791004e-01 1.000000000000000e-02
5.605155267359032e-01 1.511600156432960e-01 1.000000000000000e-02
5.728579638040801e-01 1.544662324518042e-01 1.000000000000000e-02
5.853656237394537e-01 1.578167344252571e-01 1.000000000000000e-02
5.980421146399451e-01 1.612124887659876e-01 1.000000000000000e-02
6.108910933094033e-01 1.646544757371433e-01 1.000000000000000e-02
6.239162663119803e-01 1.681436889455656e-01 1.000000000000000e-02
6.371213910408158e-01 1.716811356285171e-01 1.000000000000000e-02
6.505102768013462e-01 1.752678369443398e-01 1.000000000000000e-02
6.640867859095507e-01 1.789048282671264e-01 1.000000000000000e-02
6.778548348054398e-01 1.825931594854920e-01 1.000000000000000e-02
6.918183951821209e-01 1.863338953055303e-01 1.000000000000000e-02
7.059814951307486e-01 1.901281155580429e-01 1.000000000000000e-02
7.203482203017027e-01 1.939769155101284e-01 1.000000000000000e-02
7.349227150823160e-01 1.978814061812241e-01 1.000000000000000e-02
7.497091837914969e-01 2.018427146636881e-01 1.000000000000000e-02
7.647118918915860e-01 2.058619844480160e-01 1.000000000000000e-02
7.799351672177930e-01 2.099403757527859e-01 1.000000000000000e-02
7.953834012255729e-01 2.140790658594256e-01 1.000000000000000e-02
8.110610502562893e-01 2.182792494519002e-01 1.000000000000000e-02
8.269726368215367e-01 2.225421389614152e-01 1.000000000000000e-02
8.431227509064848e-01 2.268689649162384e-01 1.000000000000000e-02
8.595160512926175e-01 2.312609762967361e-01 1.000000000000000e-02
8.761572669002532e-01 2.357194408957319e-01 1.000000000000000e-02
8.930511981512173e-01 2.402456456842862e-01 1.000000000000000e-02
9.102027183520733e-01 2.448408971830052e-01 1.000000000000000e-02
9.276167750982953e-01 2.495065218389861e-01 1.000000000000000e-02
9.452983916997906e-01 2.542438664085047e-01 1.000000000000000e-02
9.632526686281806e-01 2.590542983455582e-01 1.000000000000000e-02
9.814847849862525e-01 2.639392061963746e-01 1.000000000000000e-02
1.000000000000000e+00 2.688999999999999e-01 1.000000000000000e-02
-5.000000000000000e-01 2.040803726673257e-03 1.000000000000000e-02
-4.919330268403763e-01 2.042686450730419e-03 1.000000000000000e-02
-4.838660481740859e-01 2.044573473508795e-03 1.000000000000000e-02
-4.757990640011229e-01 2.046464795018318e-03 1.000000000000000e-02
-4.677320743214806e-01 2.048360415268923e-03 1.000000000000000e-02
-4.596650791351527e-01 2.050260334270542e-03 1.000000000000000e-02
-4.515980784421328e-01 2.052164552033107e-03 1.000000000000000e-02
-4.435310722424147e-01 2.054073068566552e-03 1.000000000000000e-02
-4.354640605359920e-01 2.055985883880809e-03 1.000000000000000e-02
-4.273970433228582e-01 2.057902997985816e-03 1.000000000000000e-02
-4.193300206030072e-01 2.059824410891503e-03 1.000000000000000e-02
-4.112629923764321e-01 2.061750122607804e-03 1.000000000000000e-02
-4.031959586431274e-01 2.063680133144653e-03 1.000000000000000e-02
-3.951289194030859e-01 2.065614442511979e-03 1.000000000000000e-02
-3.870618746563017e-01 2.067553050719727e-03 1.000000000000000e-02
-3.789948244027680e-01 2.069495957777813e-03 1.000000000000000e-02
-3.709277686424791e-01 2.071443163696195e-03 1.000000000000000e-02
-3.628607073754281e-01 2.073394668484781e-03 1.000000000000000e-02
-3.547936406016088e-01 2.075350472153518e-03 1.000000000000000e-02
-3.467265683210150e-01 2.077310574712336e-03 1.000000000000000e-02
-3.386594905336401e-01 2.079274976171178e-03 1.000000000000000e-02
-3.305924072394777e-01 2.081243676539966e-03 1.000000000000000e-02
-3.225253184385217e-01 2.083216675828635e-03 1.000000000000000e-02
-3.144582241307655e-01 2.085193974047113e-03 1.000000000000000e-02
-3.063911243162030e-01 2.087175571205351e-03 1.000000000000000e-02
-2.983240189948275e-01 2.089161467313278e-03 1.000000000000000e-02
-2.902569081666328e-01 2.091151662380816e-03 1.000000000000000e-02
-2.821897918316127e-01 2.093146156417917e-03 1.000000000000000e-02
-2.741226699897606e-01 2.095144949434490e-03 1.000000000000000e-02
-2.660555426410702e-01 2.097148041440490e-03 1.000000000000000e-02
-2.579884097855352e-01 2.099155432445841e-03 1.000000000000000e-02
-2.499212714231491e-01 2.101167122460480e-03 1.000000000000000e-02
-2.418541275539056e-01 2.103183111494343e-03 1.000000000000000e-02
-2.337869781777985e-01 2.105203399557373e-03 1.000000000000000e-02
-2.257198232948211e-01 2.107227986659473e-03 1.000000000000000e-02
-2.176526629049673e-01 2.109256872810605e-03 1.000000000000000e-02
-2.095854970082307e-01 2.111290058020687e-03 1.000000000000000e-02
-2.015183256046051e-01 2.113327542299683e-03 1.000000000000000e-02
-1.934511486940836e-01 2.115369325657479e-03 1.000000000000000e-02
-1.853839662766605e-01 2.117415408104048e-03 1.000000000000000e-02
-1.773167783523289e-01 2.119465789649305e-03 1.000000000000000e-02
-1.692495849210826e-01 2.121520470303194e-03 1.000000000000000e-02
-1.611823859829154e-01 2.123579450075651e-03 1.000000000000000e-02
-1.531151815378209e-01 2.125642728976598e-03 1.000000000000000e-02
-1.450479715857926e-01 2.127710307015959e-03 1.000000000000000e-02
-1.369807561268241e-01 2.129782184203719e-03 1.000000000000000e-02
-1.289135351609092e-01 2.131858360549743e-03 1.000000000000000e-02
-1.208463086880414e-01 2.133938836064039e-03 1.000000000000000e-02
